IDX	STEP	WORK	TIME	  LOOP	ALARM	Cur	Vol	Cap	Tmp	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24
88	2	44	00:12:50  1	80	-6.00	202.90	1.28	0.00	11.368	11.370	11.352	11.342	11.344	11.378	11.395	11.379	11.369	11.371	11.348	11.352	11.367	11.374	11.358	11.372	11.365	11.257	0.007	0.011	0.003	0.004	0.009	0.009	
89	2	44	00:13:01  1	80	-6.00	202.70	1.30	0.00	11.368	11.369	11.339	11.337	11.345	11.370	11.385	11.381	11.367	11.363	11.342	11.350	11.362	11.368	11.357	11.367	11.355	11.253	0.012	0.008	0.003	0.007	0.008	0.004	
90	2	44	00:13:11  1	80	-6.00	202.70	1.32	0.00	11.366	11.362	11.333	11.336	11.341	11.362	11.387	11.379	11.358	11.358	11.346	11.344	11.352	11.367	11.355	11.355	11.352	11.255	0.006	0.008	0.007	0.007	0.003	0.007	
91	2	44	00:13:20  1	80	-6.00	202.60	1.33	0.00	11.356	11.356	11.336	11.330	11.330	11.365	11.385	11.372	11.355	11.358	11.342	11.337	11.351	11.367	11.346	11.353	11.354	11.247	0.005	0.009	0.005	0.004	0.009	0.011	
92	2	44	00:13:31  1	80	-6.00	202.50	1.35	0.00	11.355	11.354	11.324	11.328	11.331	11.354	11.378	11.370	11.347	11.350	11.337	11.334	11.344	11.362	11.344	11.347	11.347	11.244	0.006	0.009	0.007	0.006	0.005	0.005	
93	2	44	00:13:41  1	80	-6.00	202.50	1.37	0.00	11.352	11.351	11.318	11.321	11.329	11.351	11.372	11.364	11.343	11.343	11.332	11.334	11.340	11.348	11.341	11.349	11.337	11.238	0.010	0.005	0.003	0.008	0.007	0.005	
94	2	44	00:13:50  1	80	-6.00	202.40	1.38	0.00	11.341	11.350	11.325	11.314	11.319	11.353	11.367	11.354	11.342	11.347	11.324	11.323	11.342	11.352	11.331	11.343	11.338	11.230	0.008	0.011	0.003	0.006	0.011	0.008	
95	2	44	00:14:01  1	80	-6.00	202.40	1.40	0.00	11.344	11.338	11.312	11.315	11.313	11.343	11.366	11.355	11.334	11.339	11.324	11.319	11.333	11.347	11.329	11.333	11.333	11.229	0.005	0.008	0.006	0.003	0.007	0.011	
96	2	44	00:14:11  1	80	-6.00	202.30	1.42	0.00	11.337	11.340	11.308	11.304	11.314	11.341	11.357	11.353	11.335	11.328	11.314	11.319	11.327	11.338	11.329	11.333	11.324	11.220	0.010	0.008	0.002	0.008	0.009	0.004	
97	2	44	00:14:20  1	80	-6.00	202.20	1.43	0.00	11.334	11.327	11.305	11.307	11.304	11.333	11.358	11.344	11.326	11.330	11.314	11.314	11.324	11.337	11.324	11.327	11.321	11.221	0.008	0.008	0.007	0.007	0.004	0.009	
98	2	44	00:14:31  1	80	-6.00	202.10	1.45	0.00	11.324	11.329	11.304	11.295	11.297	11.334	11.354	11.336	11.324	11.325	11.301	11.304	11.324	11.331	11.313	11.326	11.318	11.208	0.009	0.010	0.001	0.005	0.009	0.006	
99	2	44	00:14:41  1	80	-6.00	202.00	1.47	0.00	11.324	11.325	11.291	11.292	11.299	11.323	11.344	11.338	11.318	11.314	11.302	11.303	11.312	11.326	11.313	11.320	11.308	11.209	0.011	0.007	0.002	0.007	0.007	0.005	
100	2	44	00:14:50  1	80	-6.00	201.90	1.48	0.00	11.321	11.321	11.287	11.288	11.294	11.319	11.342	11.333	11.315	11.313	11.298	11.300	11.307	11.323	11.308	11.313	11.307	11.206	0.009	0.007	0.007	0.007	0.006	0.008	
